no,Time,UserID/MemID,設置點,緯度,經度,place_id
0,2/1/2022 1:07:51 PM,Ud12b72cb97ad69f841efe9b974ffdbe1,吳家小館,23.63269,119.59865,ChIJ____v61cbDQRvnCGPpq8P-c
1,2/1/2022 1:19:12 PM,Ua3e61aaf987823389bb9e5792db3b17d,某個角落,23.56492,119.56492,ChIJT5NyhYOpQjQRer8vmxm2pQY
2,2/1/2022 1:29:49 PM,U5fd8a6c36b2a2370bb0184a98f40b911,清心飲食店,23.60018,119.50975,ChIJnbAMPBOpQjQRi9fb1xiur1w
4,2/1/2022 1:42:42 PM,U5bd82e43dc73309eeb6907f4289db0b1,蒙地卡羅咖啡館,23.56733,119.56683,ChIJMUY99PJabDQRT6mnNNbvong
5,2/1/2022 1:44:04 AM,U16f92b0df914c40495c60e84bf79adba,劉正港檸檬汁-中華店,23.57204,119.57574,ChIJKV5DcQ1bbDQRdxjFjIxHKEs
6,2/1/2022 1:44:21 AM,U715df1e900eb20c8a489602d1d2ea5cc,劉正港檸檬汁-中華店,23.57204,119.57574,ChIJKV5DcQ1bbDQRdxjFjIxHKEs
8,2/1/2022 1:57:01 PM,Ue56b6c5b24c6cd97c7cb7d6bd9d8b1df,振發食品行,23.56413,119.5642,ChIJsw_5voxabDQRFPftR6TSHbk
9,2/1/2022 10:01:09 PM,U0d5a39ecd31b0b2b63f941e2d03cb796,葉子的店,23.57429,119.57824,ChIJY-fP1uNbbDQRoHrOePIL5aM
13,2/1/2022 10:36:26 PM,U58001d9adfe8f94262b41bcaf841093b,駱哥港式點心,23.56584,119.56856,ChIJswnQYe1abDQRm0FvaJaVxp4
14,2/1/2022 10:39:07 PM,Uc6ca45181f84f93c8037448e8d1945cd,鮮食堂海鮮蒸鍋,23.56566,119.56462,ChIJibnwNvNabDQR9kbvornvaEg
19,2/1/2022 11:28:45 PM,U3c29e39a18fb2239afcf1a9ce5da3d09,澎漁宴餐廳,23.56625705,119.5690162,ChIJV0nO1f1bbDQRoPL9XWhn6vU
20,2/1/2022 11:30:33 AM,Uf4a9fa99caa0a39087a140f14921328b,雨軒冰茶,23.58504,119.65937,ChIJ89tisyNFbDQRjyACT7OD5qo
23,2/1/2022 11:52:44 AM,U3bc29efa4e459e4802139b075e9574e8,芳遠水果行,23.56751,119.56721,ChIJMxmhX_JabDQRHmV3SOE_wrs
24,2/1/2022 11:55:39 AM,Ud396de5c092143ad087e50d3fbcd042d,瑞師父海菜煎餅,23.56579,119.56542,ChIJPSvBJfNabDQR38pPWb1IbtI
